ID	Group	description	Class
O84118	106	INCE_CHLTR Inclusion membrane protein E OS=Chlamydia trachomatis GN=incE PE=4 SV=1	1
O84119	107	INCF_CHLTR Inclusion membrane protein F OS=Chlamydia trachomatis GN=incF PE=4 SV=1	1
Q5ZSQ2	108	Q5ZSQ2_LEGPH SidD OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sidD PE=4 SV=1	1
A6M3V0	109	"A6M3V0_YERPE Secreted targeting protein, possible regulator, Type III system OS=Yersinia pestis CA88-4125 GN=yopK PE=4 SV=1"	1
P27474	109	YOPQ_YEREN Protein yopQ OS=Yersinia enterocolitica GN=yopQ PE=4 SV=1	1
Q56935	109	"Q56935_YERPS Yop targeting protein yopK, yopQ OS=Yersinia pseudotuberculosis GN=yopK PE=4 SV=1"	1
Q886L1	110	Q886L1_PSESM Type III effector HopAF1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAF1 PE=4 SV=1	1
O84120	111	INCG_CHLTR Inclusion membrane protein G OS=Chlamydia trachomatis GN=incG PE=1 SV=1	1
Q5ZX35	112	Q5ZX35_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0898 PE=4 SV=1	1
Q9Z9F5	113	Q9Z9F5_CHLPN Putative uncharacterized protein OS=Chlamydia pneumoniae GN=CpB0030 PE=4 SV=1	1
Q9Z7W9	114	Q9Z7W9_CHLPN CPj0585 protein OS=Chlamydia pneumoniae GN=CP_0163 PE=4 SV=1	1
P40613	115	SPAN_SALTY Surface presentation of antigens protein spaN OS=Salmonella typhimurium GN=spaN PE=3 SV=1	1
Q5ZSV7	116	Q5ZSV7_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2409 PE=4 SV=1	1
P0CL52	117	SIPA_SALTY Cell invasion protein SipA OS=Salmonella typhimurium GN=sipA PE=1 SV=1	1
Q5ZWE1	118	Q5ZWE1_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1144 PE=4 SV=1	1
Q5ZSD5	119	"Q5ZSD5_LEGPH SidF, inhibitor of growth family, member 3 OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sidF PE=4 SV=1"	1
Q56061	121	SIFA_SALTY Secreted effector protein sifA OS=Salmonella typhimurium GN=sifA PE=1 SV=1	1
Q5ZZJ8	122	Q5ZZJ8_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0012 PE=4 SV=1	1
O30916	123	SOPB_SALTY Inositol phosphate phosphatase sopB OS=Salmonella typhimurium GN=sopB PE=1 SV=2	1
Q88BF6	124	Q88BF6_PSESM Type III effector HopY1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopY1 PE=4 SV=1	1
P40722	125	SOPD_SALTY Secreted effector protein sopD OS=Salmonella typhimurium GN=sopD PE=1 SV=2	1
O52623	126	SOPE_SALTY Guanine nucleotide exchange factor sopE OS=Salmonella typhimurium GN=sopE PE=1 SV=3	1
Q7CQD4	126	SOPE2_SALTY Guanine nucleotide exchange factor sopE2 OS=Salmonella typhimurium GN=sopE2 PE=1 SV=3	1
Q5ZXW0	127	Q5ZXW0_LEGPH SidA OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sidA PE=4 SV=1	1
Q5ZV21	128	Q5ZV21_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1621 PE=4 SV=1	1
Q58I88	129	Q58I88_ECOLX Translocated intimin receptor OS=Escherichia coli GN=tir PE=4 SV=1	1
Q5ZYI2	130	Q5ZYI2_LEGPH VipA OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=vipA PE=4 SV=1	1
B7UM94	131	B7UM94_ECO27 Translocon EspA OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) GN=espA PE=4 SV=1	1
Q5ZU28	132	Q5ZU28_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1980 PE=4 SV=1	1
B3BD94	133	B3BD94_ECO57 Secreted protein EspB OS=Escherichia coli O157:H7 str. EC869 GN=ECH7EC869_1701 PE=4 SV=1	1
B3A274	134	B3A274_ECO57 Secreted protein EspD OS=Escherichia coli O157:H7 str. EC4401 GN=ECH7EC4401_1036 PE=4 SV=1	1
B2PHR1	135	B2PHR1_ECO57 EspF OS=Escherichia coli O157:H7 str. EC4076 GN=ECH7EC4076_5593 PE=4 SV=1	1
P0DJ89	135	ESFU3_ECO57 Secreted effector protein EspF(U) OS=Escherichia coli O157:H7 GN=espF(U) PE=1 SV=1	1
A2A0X3	135	A2A0X3_ECOLX Type III secreted effector protein OS=Escherichia coli O157:H- GN=tccP2 PE=4 SV=1	1
O85646	136	O85646_ECOLX EspG OS=Escherichia coli PE=4 SV=1	1
Q889A9	137	Q889A9_PSESM Type III helper protein HopAJ1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAJ1 PE=4 SV=1	1
Q5ZYX1	138	Q5ZYX1_LEGPH DNA repair protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=recN PE=4 SV=1	1
Q5ZTG2	139	Q5ZTG2_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2200 PE=4 SV=1	1
B3A307	140	B3A307_ECO57 NleB OS=Escherichia coli O157:H7 str. EC4401 GN=ECH7EC4401_2886 PE=4 SV=1	1
Q5ZZA8	141	"Q5ZZA8_LEGPH N-terminal acetyltransferase, GNAT family OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=vipF PE=4 SV=1"	1
B3BS59	142	B3BS59_ECO57 NleE OS=Escherichia coli O157:H7 str. EC508 GN=ECH7EC508_2961 PE=4 SV=1	1
Q5ZWD7	143	Q5ZWD7_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1148 PE=4 SV=1	1
Q5ZWC7	144	Q5ZWC7_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1158 PE=4 SV=1	1
Q5ZYR7	145	Q5ZYR7_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0294 PE=4 SV=1	1
Q5ZXU7	146	Q5ZXU7_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0634 PE=4 SV=1	1
Q5ZSV9	147	Q5ZSV9_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2407 PE=4 SV=1	1
Q5ZRX7	148	Q5ZRX7_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2744 PE=4 SV=1	1
P31498	149	YOPJ_YERPS Effector protein yopJ OS=Yersinia pseudotuberculosis GN=yopJ PE=1 SV=3	1
Q93KQ5	149	Q93KQ5_YEREN Yop effector YopP OS=Yersinia enterocolitica GN=yopP PE=4 SV=1	1
Q87V79	150	Q87V79_PSESM HopAN1 protein OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=PSPTO_5061 PE=4 SV=1	1
Q5ZV17	151	Q5ZV17_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1625 PE=4 SV=1	1
Q5ZY54	152	Q5ZY54_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0518 PE=4 SV=1	1
Q5ZUS5	153	Q5ZUS5_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1717 PE=4 SV=1	1
Q5ZWX1	154	Q5ZWX1_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0963 PE=4 SV=1	1
Q5ZZG5	155	Q5ZZG5_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0045 PE=4 SV=1	1
Q5ZZD0	156	Q5ZZD0_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0081 PE=4 SV=1	1
P37033	157	Y1689_LEGPH Uncharacterized protein lpg1689 OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1689 PE=4 SV=1	1
Q882F0	158	Q882F0_PSESM Type III helper protein HopP1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopP1 PE=4 SV=1	1
Q5ZRQ4	159	Q5ZRQ4_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2826 PE=4 SV=1	1
Q5ZW15	160	Q5ZW15_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1273 PE=4 SV=1	1
Q5ZUP2	161	Q5ZUP2_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1751 PE=4 SV=1	1
Q5ZTI6	162	SGPL_LEGPH Probable sphingosine-1-phosphate lyase OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2176 PE=3 SV=2	1
Q5ZTL7	163	Q5ZTL7_LEGPH F-box protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legAU13 PE=4 SV=1	1
Q5ZTM4	164	Q5ZTM4_LEGPH Calmodulin-dependent protein kinase OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legK2 PE=4 SV=1	1
Q5ZXN6	165	Q5ZXN6_LEGPH Ankyrin repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA8 PE=4 SV=1	1
Q5ZZ40	166	Q5ZZ40_LEGPH FBOX-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legU1 PE=4 SV=1	1
Q5ZSG1	167	Q5ZSG1_LEGPH Putative uncharacterized protein legK3 OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legK3 PE=4 SV=1	1
Q5ZWY8	168	"Q5ZWY8_LEGPH Gala protein type 1, 3 or 4 OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legL1 PE=4 SV=1"	1
Q8RP03	169	Q8RP03_PSEYM Type III effector HopPtoA1Pma OS=Pseudomonas syringae pv. maculicola PE=4 SV=1	1
Q5ZSL3	170	Q5ZSL3_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2504 PE=4 SV=1	1
Q5ZU44	171	Q5ZU44_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1964 PE=4 SV=1	1
Q5ZU48	172	Q5ZU48_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1960 PE=4 SV=1	1
Q5ZU46	173	Q5ZU46_LEGPH Peptidyl-prolyl cis-trans isomerase OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1962 PE=3 SV=1	1
Q5ZUS4	174	Q5ZUS4_LEGPH Eukaryotic huntingtin interacting protein B OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legAS4 PE=4 SV=1	1
Q5ZYG9	175	Q5ZYG9_LEGPH Ankyrin repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA7 PE=4 SV=1	1
Q5ZY89	176	Q5ZY89_LEGPH Ankyrin repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA12 PE=4 SV=1	1
Q5ZSR5	177	Q5ZSR5_LEGPH Ankyrin repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA14 PE=4 SV=1	1
Q5ZR84	178	Q5ZR84_LEGPH Astacin protease OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legP PE=3 SV=1	1
Q5ZU55	179	Q5ZU55_LEGPH Coiled-coil-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legC4 PE=4 SV=1	1
Q2TH32	4	Q2TH32_SHIFL Invasion plasmid antigen OS=Shigella flexneri GN=ipaH4.5 PE=4 SV=1	0
Q1C2J9	4	Q1C2J9_YERPA Putative antigenic leucine-rich repeat protein OS=Yersinia pestis bv. Antiqua (strain Antiqua) GN=YPA_3361 PE=4 SV=1	0
F5R6W2	4	F5R6W2_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein OS=Shigella flexneri 2930-71 GN=SF293071_5006 PE=4 SV=1	0
Q322S7	4	Q322S7_SHIBS Invasion plasmid antigen OS=Shigella boydii serotype 4 (strain Sb227) GN=ipaH_3 PE=4 SV=1	0
Q3K8R8	4	Q3K8R8_PSEPF Putative leucine rich-repeat protein OS=Pseudomonas fluorescens (strain Pf0-1) GN=Pfl01_4099 PE=4 SV=1	0
Q32HH8	4	Q32HH8_SHIDS Invasion plasmid antigen OS=Shigella dysenteriae serotype 1 (strain Sd197) GN=ipaH_3 PE=4 SV=1	0
C0Q0R0	4	C0Q0R0_SALPC Leucine-rich repeat protein OS=Salmonella paratyphi C (strain RKS4594) GN=sspH2 PE=4 SV=1	0
Q88K97	4	Q88K97_PSEPK Leucine-rich repeat domain protein OS=Pseudomonas putida (strain KT2440) GN=PP2394 PE=4 SV=1	0
Q89TL5	4	Q89TL5_BRAJA Blr1904 protein OS=Bradyrhizobium japonicum GN=blr1904 PE=4 SV=1	0
Q88KS7	4	Q88KS7_PSEPK Leucine-rich repeat domain protein OS=Pseudomonas putida (strain KT2440) GN=PP2212 PE=4 SV=1	0
Q3YTT3	4	Q3YTT3_SHISS Invasion plasmid antigen OS=Shigella sonnei (strain Ss046) GN=ipaH4.5 PE=4 SV=1	0
F7R9P9	4	F7R9P9_SHIFL E3 ubiquitin-protein ligase ipaH9.8 OS=Shigella flexneri J1713 GN=SFJ1713_2124 PE=4 SV=1	0
Q31SL9	4	Q31SL9_SHIBS Invasion plasmid antigen OS=Shigella boydii serotype 4 (strain Sb227) GN=ipaH7.8 PE=4 SV=1	0
Q32I41	4	Q32I41_SHIDS Invasion plasmid antigen OS=Shigella dysenteriae serotype 1 (strain Sd197) GN=ipaH_1 PE=4 SV=1	0
F5QVG9	4	F5QVG9_SHIFL Putative E3 ubiquitin-protein ligase ipaH4.5 OS=Shigella flexneri 2930-71 GN=ipaH4.5 PE=4 SV=1	0
Q327F7	4	Q327F7_SHIDS Invasion plasmid antigen OS=Shigella dysenteriae serotype 1 (strain Sd197) GN=ipaH7.8 PE=4 SV=1	0
A4D0H6	4	A4D0H6_SALTY SspH1 (Fragment) OS=Salmonella typhimurium GN=sspH1 PE=4 SV=1	0
Q8VSM3	4	"Q8VSM3_SHIFL Invasion plasmid antigen, probably secreted by the Mxi-Spa machinery OS=Shigella flexneri GN=ipaH2.5 PE=4 SV=1"	0
H0N064	4	H0N064_SALMO E3 ubiquitin-protein ligase SlrP OS=Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035327 GN=SEEM5327_14245 PE=4 SV=1	0
Q321X4	4	Q321X4_SHIBS Invasion plasmid antigen OS=Shigella boydii serotype 4 (strain Sb227) GN=ipaH_4 PE=4 SV=1	0
Q326Z6	4	IPA9_SHIDS E3 ubiquitin-protein ligase ipaH9.8 OS=Shigella dysenteriae serotype 1 (strain Sd197) GN=ipaH9.8 PE=3 SV=2	0
F5R1P5	4	F5R1P5_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein OS=Shigella flexneri 2930-71 GN=SF293071_3107 PE=4 SV=1	0
B2TSV2	4	B2TSV2_SHIB3 IpaH7.8 OS=Shigella boydii serotype 18 (strain CDC 3083-94 / BS512) GN=SbBS512_A0130 PE=4 SV=1	0
F7RC20	4	F7RC20_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein (Fragment) OS=Shigella flexneri J1713 GN=SFJ1713_2992 PE=4 SV=1	0
Q32F07	4	Q32F07_SHIDS Invasion plasmid antigen OS=Shigella dysenteriae serotype 1 (strain Sd197) GN=ipaH_5 PE=4 SV=1	0
Q83RJ4	4	IPA3_SHIFL E3 ubiquitin-protein ligase ipaH3 OS=Shigella flexneri GN=ipaH3 PE=1 SV=1	0
Q327F0	4	Q327F0_SHIDS Invasion plasmid antigen OS=Shigella dysenteriae serotype 1 (strain Sd197) GN=ipaH1.4 PE=4 SV=1	0
Q0T6J3	4	Q0T6J3_SHIF8 Invasion plasmid antigen OS=Shigella flexneri serotype 5b (strain 8401) GN=ipaH_1 PE=4 SV=1	0
H0ND37	4	H0ND37_SALET E3 ubiquitin-protein ligase SlrP OS=Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 GN=SEEPO729_18671 PE=4 SV=1	0
B5BZ46	4	B5BZ46_SALET SspH1 OS=Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 GN=SeSPA_A1773 PE=4 SV=1	0
Q83QI8	4	Q83QI8_SHIFL Invasion plasmid antigen OS=Shigella flexneri GN=ipaH_7 PE=4 SV=4	0
Q324C5	4	Q324C5_SHIBS Invasion plasmid antigen OS=Shigella boydii serotype 4 (strain Sb227) GN=ipaH_1 PE=4 SV=1	0
E8NV20	4	E8NV20_SALET Leucine-rich repeat-containing protein OS=Salmonella enterica subsp. enterica serovar Choleraesuis str. SCSA50 GN=slrP PE=4 SV=1	0
Q0T534	4	Q0T534_SHIF8 Invasion plasmid antigen OS=Shigella flexneri serotype 5b (strain 8401) GN=ipaH_2 PE=4 SV=1	0
F5QVY2	4	F5QVY2_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein OS=Shigella flexneri 2930-71 GN=SF293071_1053 PE=4 SV=1	0
Q2TH08	4	Q2TH08_SHIFL Invasion plasmid antigen OS=Shigella flexneri GN=ipaH2.5 PE=4 SV=1	0
F5R1P7	4	F5R1P7_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein (Fragment) OS=Shigella flexneri 2930-71 GN=SF293071_3109 PE=4 SV=1	0
Q3Z082	4	Q3Z082_SHISS Invasion plasmid antigen OS=Shigella sonnei (strain Ss046) GN=ipaH_4 PE=4 SV=1	0
B5R199	4	B5R199_SALEP Secreted effector protein OS=Salmonella enteritidis PT4 (strain P125109) GN=sspH2 PE=4 SV=1	0
F5QWI3	4	F5QWI3_SHIFL E3 ubiquitin-ligase ipaH3 domain protein OS=Shigella flexneri 2930-71 GN=SF293071_1256 PE=4 SV=1	0
F8VEB0	4	F8VEB0_SALBC Leucine-rich repeat protein SlrP OS=Salmonella bongori (strain ATCC 43975 / DSM 13772 / NCTC 12419) GN=slrP PE=4 SV=1	0
Q327F8	4	Q327F8_SHIDS Invasion plasmid antigen OS=Shigella dysenteriae serotype 1 (strain Sd197) GN=ipaH4.5 PE=4 SV=1	0
B5MTV2	4	B5MTV2_SALET SspH1 OS=Salmonella enterica subsp. enterica serovar Saintpaul str. SARA29 GN=SeSPB_A1375 PE=4 SV=1	0
B2TT54	4	IPA9_SHIB3 E3 ubiquitin-protein ligase ipaH9.8 OS=Shigella boydii serotype 18 (strain CDC 3083-94 / BS512) GN=ipaH9.8 PE=3 SV=1	0
Q7UA96	4	Q7UA96_SHIFL Invasion plasmid antigen OS=Shigella flexneri GN=ipaH_5 PE=4 SV=1	0
Q6XVT8	4	Q6XVT8_SHIFL IpaH1.4 OS=Shigella flexneri GN=ipaH1.4 PE=4 SV=1	0
B2TSR7	4	B2TSR7_SHIB3 IpaH1.4 OS=Shigella boydii serotype 18 (strain CDC 3083-94 / BS512) GN=SbBS512_A0087 PE=4 SV=1	0
B3GSN3	4	B3GSN3_SHIBO Invasion plasmid antigen OS=Shigella boydii GN=ipaH2 PE=4 SV=1	0
Q3YTH5	4	IPA9_SHISS E3 ubiquitin-protein ligase ipaH9.8 OS=Shigella sonnei (strain Ss046) GN=ipaH9.8 PE=3 SV=1	0
F7RB44	4	F7RB44_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein (Fragment) OS=Shigella flexneri J1713 GN=SFJ1713_2631 PE=4 SV=1	0
F5QZN3	4	F5QZN3_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein OS=Shigella flexneri 2930-71 GN=SF293071_2372 PE=4 SV=1	0
Q0T309	4	Q0T309_SHIF8 Invasion plasmid antigen OS=Shigella flexneri serotype 5b (strain 8401) GN=ipaH_5 PE=4 SV=1	0
F5QZN2	4	F5QZN2_SHIFL E3 ubiquitin-ligase ipaH3 domain protein OS=Shigella flexneri 2930-71 GN=SF293071_2371 PE=4 SV=1	0
Q8ZQQ2	4	SLRP_SALTY E3 ubiquitin-protein ligase slrP OS=Salmonella typhimurium GN=slrP PE=1 SV=1	0
P55456	4	Y4FR_RHISN Probable E3 ubiquitin-protein ligase NGR_a03640 OS=Rhizobium sp. (strain NGR234) GN=NGR_a03640 PE=3 SV=1	0
H0ML72	4	H0ML72_SALMO E3 ubiquitin-protein ligase SlrP (Fragment) OS=Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035321 GN=SEEM5321_16623 PE=4 SV=1	0
Q0T1J2	4	Q0T1J2_SHIF8 Invasion plasmid antigen OS=Shigella flexneri serotype 5b (strain 8401) GN=ipaH_7 PE=4 SV=1	0
D2AJY2	4	"D2AJY2_SHIF2 Invasion plasmid antigen, secreted by the Mxi-Spa secretion machinery OS=Shigella flexneri serotype X (strain 2002017) GN=ipaH1.4 PE=4 SV=1"	0
F7R604	4	F7R604_SHIFL E3 ubiquitin-ligase ipaH3 domain protein OS=Shigella flexneri J1713 GN=SFJ1713_0817 PE=4 SV=1	0
F7R898	4	F7R898_SHIFL E3 ubiquitin-protein ligase ipaH3 OS=Shigella flexneri J1713 GN=SFJ1713_1619 PE=4 SV=1	0
Q3Z2I2	4	Q3Z2I2_SHISS Invasion plasmid antigen OS=Shigella sonnei (strain Ss046) GN=ipaH_3 PE=4 SV=1	0
D2AJA3	4	"D2AJA3_SHIF2 Invasion plasmid antigen, probably secreted by the Mxi-Spa machinery OS=Shigella flexneri serotype X (strain 2002017) GN=ipaH2.5 PE=4 SV=1"	0
Q7UBY0	4	Q7UBY0_SHIFL Invasion plasmid antigen OS=Shigella flexneri GN=ipaH_7 PE=4 SV=1	0
E8ZZF6	4	E8ZZF6_SALET 65.4 kDa antigen OS=Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 GN=slrP PE=4 SV=1	0
D0ZRB2	4	SLRP_SALT1 E3 ubiquitin-protein ligase slrP OS=Salmonella typhimurium (strain 14028s / SGSC 2262) GN=slrP PE=3 SV=1	0
Q7UD47	4	Q7UD47_SHIFL Invasion plasmid antigen OS=Shigella flexneri GN=ipaH_2 PE=4 SV=1	0
Q9AFJ5	4	Q9AFJ5_SHIFL Invasion plasmid antigen OS=Shigella flexneri 5a GN=ipaH1.4 PE=4 SV=1	0
H0MDW9	4	H0MDW9_SALMO E3 ubiquitin-protein ligase SlrP (Fragment) OS=Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035321 GN=SEEM5321_08219 PE=4 SV=1	0
P18014	4	IPA7_SHIFL Probable E3 ubiquitin-protein ligase ipaH7.8 OS=Shigella flexneri GN=ipaH7.8 PE=1 SV=2	0
F7RB42	4	F7RB42_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein OS=Shigella flexneri J1713 GN=SFJ1713_2626 PE=4 SV=1	0
B4AAL9	4	B4AAL9_SALNE SspH1 OS=Salmonella enterica subsp. enterica serovar Newport str. SL317 GN=SNSL317_A4499 PE=4 SV=1	0
F7RAQ3	4	F7RAQ3_SHIFL E3 ubiquitin-ligase ipaH3 domain protein OS=Shigella flexneri J1713 GN=SFJ1713_2495 PE=4 SV=1	0
Q8RLG0	4	Q8RLG0_BRAJA Y4fR-like protein (Fragment) OS=Bradyrhizobium japonicum PE=4 SV=1	0
F5R1P6	4	F5R1P6_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein OS=Shigella flexneri 2930-71 GN=SF293071_3108 PE=4 SV=1	0
P18009	4	IPA4_SHIFL Probable E3 ubiquitin-protein ligase ipaH4.5 OS=Shigella flexneri GN=ipaH4.5 PE=1 SV=3	0
Q3K7F2	4	Q3K7F2_PSEPF Leucine rich repeat domain protein OS=Pseudomonas fluorescens (strain Pf0-1) GN=Pfl01_4565 PE=4 SV=1	0
B3GSN4	4	B3GSN4_SHIBO Invasion plasmid antigen (Fragment) OS=Shigella boydii GN=ipaH6 PE=4 SV=1	0
Q3YTT4	4	Q3YTT4_SHISS Invasion plasmid antigen OS=Shigella sonnei (strain Ss046) GN=ipaH7.8 PE=4 SV=1	0
Q0T3F5	4	Q0T3F5_SHIF8 Invasion plasmid antigen OS=Shigella flexneri serotype 5b (strain 8401) GN=ipaH_4 PE=4 SV=1	0
Q31SH3	4	IPA9_SHIBS E3 ubiquitin-protein ligase ipaH9.8 OS=Shigella boydii serotype 4 (strain Sb227) GN=ipaH9.8 PE=3 SV=1	0
F5QWI2	4	F5QWI2_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein OS=Shigella flexneri 2930-71 GN=SF293071_1255 PE=4 SV=1	0
Q32F09	4	Q32F09_SHIDS Invasion plasmid antigen OS=Shigella dysenteriae serotype 1 (strain Sd197) GN=ipaH_4 PE=4 SV=1	0
F5QWI1	4	F5QWI1_SHIFL E3 ubiquitin-ligase ipaH9.8 domain protein OS=Shigella flexneri 2930-71 GN=SF293071_1254 PE=4 SV=1	0
Q31SM7	4	Q31SM7_SHIBS Invasion plasmid antigen OS=Shigella boydii serotype 4 (strain Sb227) GN=ipaH1.4 PE=4 SV=1	0
Q87XT3	4	Q87XT3_PSESM Leucine rich repeat domain protein OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=PSPTO_4093 PE=4 SV=1	0
